Position,Precinct,BallotsCast,RegisteredVoters,TotalVotes,Candidate1Name,Candidate1Votes,Candidate1Percentage,Candidate2Name,Candidate2Votes,Candidate2Percentage,WriteInVotes,OverVotes,UnderVotes
"Position 1",303,96,440,96,"Sidney S Thompson",53,55.21,"Yessica Hardin-Mercado",43,44.79,0,0,0
"Position 1",304,220,1428,216,"Sidney S Thompson",100,46.30,"Yessica Hardin-Mercado",116,53.70,0,0,4
"Position 1",307,1165,6321,1147,"Sidney S Thompson",430,37.49,"Yessica Hardin-Mercado",707,61.64,10,0,18
"Position 1",308,43,149,40,"Sidney S Thompson",21,52.50,"Yessica Hardin-Mercado",18,45.00,1,0,3
"Position 1",309,1122,5849,1108,"Sidney S Thompson",448,40.43,"Yessica Hardin-Mercado",653,58.94,7,0,14
"Position 1",310,23,146,22,"Sidney S Thompson",13,59.09,"Yessica Hardin-Mercado",9,40.91,0,0,1
"Position 1",313,2,3,2,"Sidney S Thompson",2,100.00,"Yessica Hardin-Mercado",0,0.00,0,0,0
"Position 1",314,89,385,86,"Sidney S Thompson",35,40.70,"Yessica Hardin-Mercado",51,59.30,0,0,3
"Position 1",315,134,585,125,"Sidney S Thompson",59,47.20,"Yessica Hardin-Mercado",66,52.80,0,0,9
"Position 1",316,353,1671,335,"Sidney S Thompson",174,51.94,"Yessica Hardin-Mercado",160,47.76,1,0,18
"Position 1",317,57,273,54,"Sidney S Thompson",30,55.56,"Yessica Hardin-Mercado",23,42.59,1,0,3
"Position 1",318,974,5271,958,"Sidney S Thompson",382,39.87,"Yessica Hardin-Mercado",576,60.13,0,0,16
"Position 1",319,929,6505,909,"Sidney S Thompson",333,36.63,"Yessica Hardin-Mercado",575,63.26,1,0,20
"Position 1",322,24,233,21,"Sidney S Thompson",12,57.14,"Yessica Hardin-Mercado",9,42.86,0,0,3
"Position 1",326,80,413,72,"Sidney S Thompson",39,54.17,"Yessica Hardin-Mercado",33,45.83,0,0,8
