Seat 1,,,,,,,,
Precinct,Ballots Cast,Reg. Voters,Total Votes,Sidney S Thomason,Yessica Hardin-Mercado,Write-in,Over Votes,Under Votes
Precinct 303,36,960,30,18 (60.00%),12 (40.00%),0 (0.00%),0,6
Precinct 304,220,1428,216,107 (49.54%),107 (49.54%),2 (0.93%),0,4
Precinct 307,10,116,10,5 (50.00%),5 (50.00%),0 (0.00%),0,0
Precinct 308,43,1709,40,18 (45.00%),22 (55.00%),0 (0.00%),0,3
Precinct 310,122,1148,119,10 (8.40%),108 (90.76%),1 (0.84%),0,3
Precinct 311,23,246,22,2 (9.09%),20 (90.91%),0 (0.00%),0,1
Precinct 313,7,22,7,6 (85.71%),1 (14.29%),0 (0.00%),0,0
Precinct 314,89,385,86,35 (40.70%),51 (59.30%),0 (0.00%),0,3
Precinct 316,134,595,134,54 (40.30%),78 (58.21%),2 (1.49%),0,0
Precinct 317,57,273,53,23 (43.40%),30 (56.60%),0 (0.00%),0,4
Precinct 318,929,6505,909,333 (36.63%),575 (63.26%),1 (0.11%),0,20
Precinct 319,624,2333,609,246 (40.39%),363 (59.61%),0 (0.00%),0,15
Precinct 322,24,230,21,12 (57.14%),9 (42.86%),0 (0.00%),0,3
Precinct 326,17,1254,16,13 (81.25%),3 (18.75%),0 (0.00%),0,1
Precinct 327,1216,7317,1205,763 (63.32%),439 (36.43%),3 (0.25%),0,11
Precinct 328,370,3224,366,184 (50.27%),182 (49.73%),0 (0.00%),0,4
Precinct 329,2045,10173,2045,599 (29.29%),1418 (69.34%),28 (1.37%),0,0
Precinct 330,486,2781,484,187 (38.64%),295 (60.95%),2 (0.41%),0,2
Precinct 332,37,403,32,18 (56.25%),14 (43.75%),0 (0.00%),0,5
Precinct 333,40,220,36,12 (33.33%),24 (66.67%),0 (0.00%),0,4
Precinct 334,1387,5387,1366,551 (40.34%),813 (59.52%),2 (0.15%),0,21
Precinct 335,780,1782,772,284 (36.79%),487 (63.08%),1 (0.13%),0,8
Precinct 337,202,2020,199,70 (35.18%),129 (64.82%),0 (0.00%),0,3
Precinct 338,281,2799,261,106 (40.61%),155 (59.39%),0 (0.00%),0,20
Precinct 339,1078,8846,1058,373 (35.26%),684 (64.65%),1 (0.09%),0,20
Precinct 341,731,3408,722,273 (37.81%),442 (61.22%),7 (0.97%),0,9
Precinct 343,5,30,5,4 (80.00%),1 (20.00%),0 (0.00%),0,0
Precinct 345,5,30,5,2 (40.00%),3 (60.00%),0 (0.00%),0,0
Precinct 346,201,1162,193,7 (3.63%),186 (96.37%),0 (0.00%),0,8
Precinct 368,0,0,0,0 (0.00%),0 (0.00%),0 (0.00%),0,0
Precinct 370,78,2598,77,33 (42.86%),44 (57.14%),0 (0.00%),0,1
Precinct 373,465,3736,455,157 (34.51%),298 (65.49%),0 (0.00%),0,10
Precinct 376,4,22,4,0 (0.00%),4 (100.00%),0 (0.00%),0,0
Precinct 422,101,527,93,41 (44.09%),52 (55.91%),0 (0.00%),0,8
Precinct 424,56,236,51,19 (37.25%),32 (62.75%),0 (0.00%),0,5
Precinct 426,36,381,23,6 (26.09%),17 (73.91%),0 (0.00%),0,13
Precinct 439,309,2098,298,163 (54.70%),135 (45.30%),0 (0.00%),0,11
Precinct 441,18,37,17,10 (58.82%),7 (41.18%),0 (0.00%),0,1
Precinct 446,0,7,0,0 (0.00%),0 (0.00%),0 (0.00%),0,0
Precinct 450,1,76,1,1 (100.00%),0 (0.00%),0 (0.00%),0,0
Total,16735,92737,16389,6275 (38.29%),10038 (61.25%),76 (0.46%),0,346
,,,,,,,,
Seat 2,,,,,,,,
Precinct,Ballots Cast,Reg. Voters,Total Votes,Mark Watson,Maureen Barnhart,Write-in,Over Votes,Under Votes
Precinct 303,36,960,207,87 (42.03%),118 (57.00%),2 (0.97%),0,9
Precinct 304,220,1428,207,95 (45.89%),110 (53.14%),2 (0.97%),0,13
Precinct 307,10,116,10,10 (100.00%),0 (0.00%),0 (0.00%),0,0
Precinct 308,43,1709,38,25 (65.79%),13 (34.21%),0 (0.00%),0,5
Precinct 310,122,1148,106,7 (6.60%),31 (29.25%),2 (1.89%),0,1
Precinct 311,23,246,21,6 (28.57%),15 (71.43%),0 (0.00%),0,2
Precinct 313,7,22,7,6 (85.71%),1 (14.29%),0 (0.00%),0,0
Precinct 314,89,385,84,5 (5.95%),51 (60.71%),0 (0.00%),0,5
Precinct 316,134,595,121,64 (52.89%),48 (39.67%),9 (7.44%),0,13
Precinct 317,57,273,53,27 (50.94%),26 (49.06%),0 (0.00%),0,4
Precinct 318,929,6505,888,360 (40.54%),497 (55.97%),31 (3.49%),0,41
Precinct 319,624,2333,600,188 (31.33%),363 (60.50%),49 (8.17%),0,24
Precinct 322,24,230,22,13 (59.09%),9 (40.91%),0 (0.00%),0,2
Precinct 326,17,1254,16,10 (62.50%),6 (37.50%),0 (0.00%),0,1
